City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Chicago,Owned,FALSE,HEGEWISCH,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",13249 S HOUSTON AVE,4248,4248,i5aik4ltprzh,alchemy,2021-06-14T23:53:57.500Z,,,,,51.38,65.77,81961802996632,,,
Chicago,Owned,FALSE,HEGEWISCH,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",13251 S HOUSTON AVE,4248,4248,i5aik4ltprzh,alchemy,2021-06-14T23:53:30.500Z,,,,,51.38,65.77,81961752664984,,,
Cleveland,Owned,FALSE,UNION-MILES PARK,75,"[{""name"":""Clevelander"",""yield_boost"":1.25},{""name"":""Union-Miles Park"",""yield_boost"":1.3}]",3560 EAST BLVD,4275,4275,i5aik4ltprzh,alchemy,2021-07-03T19:36:16.000Z,,,,,51.71,67.22,81842131287790,,,
Chicago,Owned,FALSE,CALUMET HEIGHTS,38,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",9334 S YATES BLVD,4332,4332,i5aik4ltprzh,alchemy,2021-07-25T03:12:25.500Z,,,,,52.4,67.07,82006044512157,,,
Chicago,Owned,FALSE,GARFIELD PARK,32,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2840 W VAN BUREN ST,4352,4352,i5aik4ltprzh,alchemy,2021-07-09T20:33:49.500Z,,,,,52.64,67.38,82100013690200,,,
Chicago,Owned,FALSE,GARFIELD PARK,32,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2838 W VAN BUREN ST,4352,4352,i5aik4ltprzh,alchemy,2021-07-09T20:31:52.000Z,,,,,52.64,67.38,82100013690203,,,
Bakersfield,Owned,FALSE,HAMPTON WOODS,99,"[{""name"":""Bakersfielder"",""yield_boost"":1.2}]",10012 JERSEY BOUNCE DR,4455,5800,i5aik4ltprzh,alchemy,2021-05-22T06:15:23.000Z,,,,,53.89,64.67,78081584536209,,,
Chicago,For sale,FALSE,LITTLE VILLAGE,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2426 S SAINT LOUIS AVE,4536,4536,i5aik4ltprzh,alchemy,2021-06-04T23:31:46.500Z,USD,110,,,54.87,70.23,82082045291446,5,0.138888889,
Kansas City,Owned,FALSE,OAK PARK SOUTHEAST,45,"[{""name"":""Kansas City"",""yield_boost"":1.25}]",4009 INDIANA AVE,4590,21100,i5aik4ltprzh,alchemy,2022-04-07T22:10:34.000Z,,,,,55.52,69.4,80342432452508,,,
Chicago,Owned,FALSE,WEST PULLMAN,57,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",12511 S EDBROOKE AVE,4674,4674,i5aik4ltprzh,alchemy,2021-06-13T08:38:36.500Z,,,,,56.54,72.37,81969235301368,,,
